#ZVView-data-copy:  30-May-2023 22:13:24
#=======================================
#
#name:   47-AG-107(N,2N)47-AG-106-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  63
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,2N)47-AG-106-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  84
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         12.05         0.06         0.61       0.0549  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
          12.2          0.1         0.68         0.06  # 1962,D.R.Koehler+        ## 11785004  #dY:8.8%   
         12.28          0.1        0.593      0.05337  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
         12.61        0.155        0.782      0.07038  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
            13         0.21        0.855      0.07695  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
         13.08         0.15        0.485        0.063  # 1975,W.Augustyniak+      ## 30316003  #dY:13.0%  
          13.3         0.15          0.9         0.09  # 1962,D.R.Koehler+        ## 11785004  #dY:10.0%  
         13.47         0.21        0.927      0.08343  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
          13.7         0.02        0.968        0.089  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        13.745         0.02         0.98         0.09  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         13.77         0.02        1.019        0.094  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        13.795         0.02        0.967        0.089  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         13.82         0.02        0.923        0.085  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        13.845         0.02         0.95        0.088  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.3%   
         13.87         0.02        0.955        0.088  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         13.88        0.105        0.657        0.043  # 1975,W.Augustyniak+      ## 30316003  #dY:6.5%   
        13.895         0.02        1.027        0.095  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.3%   
         13.92         0.02         1.01        0.093  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         13.95         0.02         0.93        0.086  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        13.975         0.02        1.126        0.103  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.1%   
            14            0         0.74         0.12  # 1961,H.Vonach            ## 20089003  #dY:16.2%  
            14         0.02            1        0.092  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        14.025         0.02        0.935        0.086  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         14.05         0.31        0.852      0.07668  # 1963,L.A.Rayburn         ## 11784004  #dY:9.0%   
        14.055         0.02        1.005        0.092  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        14.075         0.02        1.111        0.102  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
          14.1            0         0.56        0.056  # 1952,S.G.Forbes          ## 11474009  #dY:10.0%  
          14.1          0.1        0.458      0.05038  # 1957,S.Yasumi            ## 20280009  #dY:11.0%  
          14.1          0.1        0.537        0.015  # 1961,M.Sakisaka+         ## 20329004  #dY:2.8%   
          14.1         0.05         0.58        0.087  # 1962,Langmann            ## 20903005  #dY:15.0%  
          14.1          0.1        0.818        0.075  # 1963,C.Carles            ## 21400005  #dY:9.2%   
         14.11         0.02        0.965        0.089  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         14.13          0.1        0.734        0.044  # 1962,M.Cevolani+         ## 21266012  #dY:6.0%   
        14.135         0.02        1.025        0.094  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         14.16         0.02        1.048        0.096  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
          14.2            0         1.05        0.065  # 1969,A.Chatterjee+       ## 30612010  #dY:6.2%   
         14.21         0.02        0.994        0.091  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         14.25        0.175         0.89         0.09  # 1962,D.R.Koehler+        ## 11785004  #dY:10.1%  
         14.26         0.02        1.028        0.095  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
          14.3         0.02        1.025        0.094  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
          14.3            0        0.813        0.037  # 1988,T.B.Ryves+          ## 22100002  #dY:4.6%   
         14.36         0.02        0.984         0.09  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.1%   
          14.4         0.15        0.889     0.065786  # 1961,L.A.Rayburn         ## 11328024  #dY:7.4%   
          14.4        0.125        0.664        0.042  # 1975,W.Augustyniak+      ## 30316003  #dY:6.3%   
        14.405         0.02        0.912        0.084  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
        14.445       0.0275        0.994        0.081  # 1968,P.Cuzzocrea+        ## 20890007  #dY:8.1%   
          14.5            0        0.519       0.2595  # 1953,E.B.Paul+           ## 11274077  #dY:50.0%  
          14.5            0        0.655        0.045  # 1969,A.Chatterjee+       ## 30612010  #dY:6.9%   
          14.5            0         0.52            0  # 1963,G.P.Chursin+        ## 40798009             
        14.525         0.03        0.924        0.087  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.4%   
        14.585       0.0325        1.027        0.095  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.3%   
          14.6            0        0.992         0.11  # 1973,J.Araminowicz+      ## 30264032  #dY:11.1%  
          14.6            0        0.705        0.032  # 1979,S.C.Misra+          ## 30507003  #dY:4.5%   
         14.65            0        0.901        0.088  # 1982,A.Reggoug+          ## 30698012  #dY:9.8%   
         14.67        0.045        1.096        0.101  # 1968,P.Cuzzocrea+        ## 20890007  #dY:9.2%   
         14.67            0         0.83        0.035  # 1988,T.B.Ryves+          ## 22100002  #dY:4.2%   
         14.67            0        0.806        0.018  # 1988,T.B.Ryves+          ## 22100003  #dY:2.2%   
          14.7          0.3          0.7         0.07  # 1976,M.Valkonen+         ## 20673026  #dY:10.0%  
          14.7            0         0.87         0.04  # 1968,B.Minetti+          ## 20891020  #dY:4.6%   
          14.8         0.05         0.53         0.03  # 1967,A.Chatterjee+       ## 30061006  #dY:5.7%   
          14.8            0        0.597         0.04  # 1969,A.Chatterjee+       ## 30612010  #dY:6.7%   
          14.8         0.05        0.601         0.09  # 1967,B.Mitra             ## 31070005  #dY:15.0%  
          14.8            0        0.662       0.0662  # 1961,S.K.Mukherjee+      ## 31161009  #dY:10.0%  
          14.8         0.25        0.657      0.09855  # 1961,C.S.Khurana+        ## 31247011  #dY:15.0%  
