#ZVView-data-copy:  30-May-2023 19:01:46
#=======================================
#
#name:   64-GD-155(N,G)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        66000         2000  # 1958,N.J.Pattenden       ## 21325019  #dY:3.0%   
          0.02        0.005        2.983        0.128  # 2007,W.C.Chung+          ## 22932008  #dY:4.3%   
        0.0225       0.0025        3.011     0.027099  # 1995,K.Wisshak+          ## 22386010  #dY:0.9%   
         0.025        0.005        2.956            0  # 1988,H.Beer+             ## 12964004             
        0.0275       0.0025        2.801     0.019607  # 1995,K.Wisshak+          ## 22386010  #dY:0.7%   
          0.03        0.005        2.388          0.1  # 2007,W.C.Chung+          ## 22932008  #dY:4.2%   
         0.035        0.005        2.464            0  # 1988,H.Beer+             ## 12964004             
         0.035        0.005        2.417     0.014502  # 1995,K.Wisshak+          ## 22386010  #dY:0.6%   
          0.04        0.005         2.07        0.087  # 2007,W.C.Chung+          ## 22932008  #dY:4.2%   
         0.045        0.005        2.225      0.01335  # 1995,K.Wisshak+          ## 22386010  #dY:0.6%   
          0.05         0.01        2.139            0  # 1988,H.Beer+             ## 12964004             
          0.05        0.005        1.915         0.08  # 2007,W.C.Chung+          ## 22932008  #dY:4.2%   
         0.055        0.005        1.957     0.009785  # 1995,K.Wisshak+          ## 22386010  #dY:0.5%   
          0.06        0.005         1.72        0.074  # 2007,W.C.Chung+          ## 22932008  #dY:4.3%   
          0.07         0.01        1.764            0  # 1988,H.Beer+             ## 12964004             
          0.07         0.01        1.666      0.00833  # 1995,K.Wisshak+          ## 22386010  #dY:0.5%   
        0.0815       0.0165        1.515        0.064  # 2007,W.C.Chung+          ## 22932008  #dY:4.2%   
          0.09         0.01        1.524            0  # 1988,H.Beer+             ## 12964004             
          0.09         0.01        1.404      0.00702  # 1995,K.Wisshak+          ## 22386010  #dY:0.5%   
          0.11         0.01        1.229     0.007374  # 1995,K.Wisshak+          ## 22386010  #dY:0.6%   
         0.125        0.025        1.201            0  # 1988,H.Beer+             ## 12964004             
         0.135        0.015        1.018     0.009162  # 1995,K.Wisshak+          ## 22386010  #dY:0.9%   
        0.1625       0.0125       0.8959     0.008959  # 1995,K.Wisshak+          ## 22386010  #dY:1.0%   
         0.175        0.025        0.925            0  # 1988,H.Beer+             ## 12964004             
        0.1875       0.0125       0.8033     0.008033  # 1995,K.Wisshak+          ## 22386010  #dY:1.0%   
        0.2125       0.0125       0.7945     0.010328  # 1995,K.Wisshak+          ## 22386010  #dY:1.3%   
          0.25         0.05        0.751       0.0015  # 1988,H.Beer+             ## 12964004  #dY:0.2%   
          0.35         0.05        0.522       0.0014  # 1988,H.Beer+             ## 12964004  #dY:0.3%   
          0.45         0.05        0.397       0.0014  # 1988,H.Beer+             ## 12964004  #dY:0.4%   
          0.55         0.05        0.328       0.0014  # 1988,H.Beer+             ## 12964004  #dY:0.4%   
          0.65         0.05        0.283       0.0015  # 1988,H.Beer+             ## 12964004  #dY:0.5%   
          0.75         0.05        0.254       0.0014  # 1988,H.Beer+             ## 12964004  #dY:0.6%   
//
#-------------------------------------------------------------------------------
#
#name:   JEFF-3.3: GD-155(N,EL)GD-155-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5823
#data...
#            X            Y
#          MeV        barns
         1e-11      188.476 
   1.10304e-11      179.824 
   1.21669e-11      171.604 
   1.35153e-11      163.252 
   1.50122e-11      155.354 
   1.66759e-11       147.88 
   1.85229e-11      140.817 
   2.05756e-11      134.138 
   2.28546e-11      127.832 
   2.53873e-11      121.873 
   2.81993e-11      116.253 
   3.13243e-11      110.948 
   3.47938e-11      105.949 
   3.86497e-11      101.238 
   4.29306e-11      96.8052 
   4.76881e-11      92.6337 
   5.29701e-11      88.7154 
   5.88402e-11       85.035 
   6.53575e-11      81.5851 
   7.31088e-11      78.1448 
   8.17795e-11      74.9409 
   9.14784e-11      71.9619 
   1.02328e-10      69.1968 
   1.14464e-10      66.6352 
   1.28942e-10      64.1244 
   1.45245e-10      61.8213 
   1.63617e-10      59.7123 
   1.85604e-10      57.6804 
   2.10545e-10      55.8424 
   2.40511e-10      54.0993 
   2.74756e-10      52.5436 
   3.16075e-10      51.0945 
   3.66154e-10      49.7639 
    4.2716e-10      48.5606 
   5.01847e-10      47.4909 
    5.9788e-10      46.5236 
   7.22375e-10      45.6804 
   8.85063e-10       44.979 
    1.11526e-9      44.4052 
    1.44519e-9      44.0115 
    1.93952e-9      43.8538 
     1.9532e-9      43.8537 
    2.77239e-9        44.06 
    4.25026e-9      44.9203 
    7.81795e-9      47.6117 
    1.41796e-8      52.5179 
    1.83753e-8      55.3901 
    2.22005e-8      57.5867 
    2.52419e-8      58.9937 
       2.53e-8      59.0174 
    2.86998e-8      60.1785 
    3.21036e-8       60.881 
    3.54114e-8      61.1238 
    3.56612e-8      61.1249 
     3.9164e-8      60.8969 
    4.28967e-8      60.1875 
    4.69876e-8      58.9327 
     5.1466e-8      57.0999 
    5.71693e-8      54.2748 
    6.66945e-8      48.9536 
    7.72618e-8      43.0151 
    8.46298e-8      39.1776 
    9.07705e-8      36.2478 
    9.66748e-8      33.6759 
    1.02247e-7      31.4658 
     1.0814e-7      29.3458 
    1.14373e-7      27.3284 
    1.20124e-7      25.6532 
    1.26158e-7       24.068 
    1.32501e-7       22.571 
    1.39157e-7      21.1653 
    1.46154e-7      19.8468 
    1.53495e-7      18.6156 
    1.61213e-7      17.4664 
    1.69311e-7      16.3978 
    1.77824e-7      15.4036 
    1.86756e-7      14.4817 
    1.96147e-7      13.6259 
    2.05999e-7      12.8336 
    2.16357e-7       12.099 
    2.27225e-7      11.4195 
     2.3865e-7      10.7899 
    2.50637e-7      10.2076 
     2.6324e-7       9.6677 
    2.76462e-7       9.1681 
    2.90363e-7      8.70466 
    3.04948e-7      8.27527 
    3.22525e-7      7.82213 
    3.41114e-7      7.40586 
    3.60776e-7      7.02336 
     3.8157e-7      6.67115 
    4.03563e-7      6.34601 
    4.26824e-7      6.04578 
     4.5461e-7       5.7348 
    4.84181e-7      5.44962 
      5.157e-7      5.18705 
    5.49245e-7      4.94505 
    5.89098e-7      4.69724 
