#ZVView-data-copy:  27-May-2023 01:11:30
#=======================================
#
#name:   64-GD-158(N,G)64-GD-159,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  190
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.074        0.002        0.213        0.012  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.6%   
         0.074        0.002        0.213        0.012  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.6%   
        0.0775       0.0025        0.246         0.02  # 1977,V.N.Kononov+        ## 40520022  #dY:8.1%   
         0.078        0.003        0.313         0.03  # 1968,D.C.Stupegia+       ## 11624010  #dY:9.6%   
         0.078        0.002        0.189         0.01  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.3%   
         0.078        0.002        0.189         0.01  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.3%   
         0.082        0.002        0.232        0.032  # 1977,V.N.Kononov+        ## 40520022  #dY:13.8%  
         0.082        0.002        0.173         0.01  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.8%   
         0.082        0.002        0.173         0.01  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.8%   
         0.083       0.0055        0.308        0.028  # 1968,D.C.Stupegia+       ## 11624010  #dY:9.1%   
         0.086        0.002        0.203        0.027  # 1977,V.N.Kononov+        ## 40520022  #dY:13.3%  
         0.086        0.002        0.166        0.009  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.4%   
         0.086        0.002        0.166        0.009  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.4%   
          0.09        0.002         0.18        0.023  # 1977,V.N.Kononov+        ## 40520022  #dY:12.8%  
          0.09        0.002        0.155        0.009  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.8%   
          0.09        0.002        0.155        0.009  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.8%   
         0.094        0.002        0.171        0.022  # 1977,V.N.Kononov+        ## 40520022  #dY:12.9%  
         0.094        0.002        0.141        0.008  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.7%   
         0.094        0.002        0.141        0.008  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.7%   
         0.098        0.002        0.162         0.02  # 1977,V.N.Kononov+        ## 40520022  #dY:12.3%  
         0.098        0.002        0.138        0.008  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.8%   
         0.098        0.002        0.138        0.008  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.8%   
         0.102        0.006        0.272        0.025  # 1968,D.C.Stupegia+       ## 11624010  #dY:9.2%   
         0.102        0.002        0.154        0.018  # 1977,V.N.Kononov+        ## 40520022  #dY:11.7%  
         0.105        0.005        0.135        0.007  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.2%   
         0.105        0.005        0.135        0.007  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.2%   
         0.106        0.002        0.148        0.017  # 1977,V.N.Kononov+        ## 40520022  #dY:11.5%  
          0.11        0.002        0.153        0.017  # 1977,V.N.Kononov+        ## 40520022  #dY:11.1%  
         0.114        0.002        0.146        0.016  # 1977,V.N.Kononov+        ## 40520022  #dY:11.0%  
         0.115        0.005         0.12        0.008  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.7%   
         0.115        0.005         0.12        0.008  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.7%   
         0.118        0.002        0.143        0.015  # 1977,V.N.Kononov+        ## 40520022  #dY:10.5%  
         0.125        0.005        0.111        0.007  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.3%   
         0.125        0.005        0.111        0.007  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.3%   
         0.128        0.008         0.14        0.015  # 1977,V.N.Kononov+        ## 40520022  #dY:10.7%  
         0.135        0.005        0.107        0.007  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.5%   
         0.135        0.005        0.107        0.007  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.5%   
         0.144        0.011      0.11485      0.00526  # 2004,Vuong Huu Tan+      ## 31542003  #dY:4.6%   
         0.144        0.008        0.127        0.014  # 1977,V.N.Kononov+        ## 40520022  #dY:11.0%  
         0.145        0.005        0.107        0.007  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.5%   
         0.145        0.005        0.107        0.007  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.5%   
         0.151       0.0065        0.164        0.012  # 1968,D.C.Stupegia+       ## 11624010  #dY:7.3%   
         0.155        0.005        0.091        0.006  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.6%   
         0.155        0.005        0.091        0.006  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.6%   
          0.16        0.008        0.115        0.012  # 1977,V.N.Kononov+        ## 40520022  #dY:10.4%  
         0.165        0.005        0.091        0.006  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.6%   
         0.165        0.005        0.091        0.006  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.6%   
         0.175        0.005        0.094        0.006  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.4%   
         0.175        0.005        0.094        0.006  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.4%   
         0.176        0.008        0.111        0.012  # 1977,V.N.Kononov+        ## 40520022  #dY:10.8%  
         0.185        0.005        0.091        0.006  # 1991,M.V.Bokhovko+       ## 41225003  #dY:6.6%   
         0.185        0.005        0.091        0.006  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:6.6%   
         0.192        0.008        0.105        0.012  # 1977,V.N.Kononov+        ## 40520022  #dY:11.4%  
         0.193        0.018        0.148        0.008  # 1968,D.C.Stupegia+       ## 11624010  #dY:5.4%   
