#ZVView-data-copy:  30-May-2023 22:21:15
#=======================================
#
#name:   47-AG-107(N,G)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  4
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  83
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  126
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         34.3          0.9  # 2013,F.Farina Arbocco+   ## 23266106  #dY:2.6%   
        0.0035       0.0005         1.88            0  # 1982,R.L.Macklin         ## 12794002             
        0.0036       0.0004         1.81     0.089776  # 1982,M.Mizumoto+         ## 21814002  #dY:5.0%   
        0.0045       0.0005        1.765      0.08772  # 1982,M.Mizumoto+         ## 21814002  #dY:5.0%   
        0.0045       0.0005        1.809         0.15  # 1987,M.V.Bokhovko+       ## 40967002  #dY:8.3%   
         0.005        0.001         1.62            0  # 1982,R.L.Macklin         ## 12794002             
        0.0055       0.0005        1.568      0.07793  # 1982,M.Mizumoto+         ## 21814002  #dY:5.0%   
        0.0055       0.0005        1.474        0.106  # 1987,M.V.Bokhovko+       ## 40967002  #dY:7.2%   
        0.0065       0.0005         1.49     0.071967  # 1982,M.Mizumoto+         ## 21814002  #dY:4.8%   
        0.0065       0.0005        1.402        0.081  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.8%   
         0.007        0.001         1.28            0  # 1982,R.L.Macklin         ## 12794002             
        0.0075       0.0005        1.246     0.060182  # 1982,M.Mizumoto+         ## 21814002  #dY:4.8%   
        0.0075       0.0005        1.304        0.074  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.7%   
        0.0085       0.0005        1.407     0.067114  # 1982,M.Mizumoto+         ## 21814002  #dY:4.8%   
        0.0085       0.0005        1.346        0.075  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.6%   
         0.009        0.001         1.35            0  # 1982,R.L.Macklin         ## 12794002             
        0.0095       0.0005        1.352      0.06449  # 1982,M.Mizumoto+         ## 21814002  #dY:4.8%   
        0.0095       0.0005        1.299        0.071  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
         0.011        0.001        1.186     0.055861  # 1982,M.Mizumoto+         ## 21814002  #dY:4.7%   
