#ZVView-data-copy:  30-May-2023 22:21:15
#=======================================
#
#name:   47-AG-107(N,G)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  4
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  83
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    0.00323567    0.0913431 
    0.00323573    0.0969696 
    0.00323578     0.103121 
    0.00323583     0.109835 
    0.00323589     0.116834 
    0.00323594     0.124249 
    0.00323599     0.132257 
    0.00323604     0.140897 
    0.00323609     0.150196 
    0.00323614     0.160193 
    0.00323619      0.17092 
    0.00323625     0.186415 
    0.00323632     0.203347 
    0.00323639     0.221784 
    0.00323646     0.241806 
    0.00323652     0.263467 
    0.00323659     0.286828 
    0.00323666     0.311933 
    0.00323672     0.338826 
    0.00323679     0.367525 
    0.00323686     0.398048 
    0.00323693     0.430384 
    0.00323701      0.47157 
    0.00323709     0.515273 
    0.00323717     0.561397 
    0.00323729     0.634776 
    0.00323741     0.712562 
    0.00323757     0.821537 
    0.00323797      1.10342 
     0.0032381      1.18942 
    0.00323822      1.25832 
    0.00323836        1.336 
    0.00323846        1.388 
    0.00323855      1.42395 
    0.00323864      1.45619 
    0.00323875      1.48531 
    0.00323885      1.50314 
    0.00323896      1.51326 
      0.003239      1.51397 
    0.00323911       1.5085 
    0.00323921      1.49344 
     0.0032393      1.47241 
    0.00323938      1.44811 
    0.00323949      1.40913 
    0.00323962         1.35 
    0.00323974      1.28571 
    0.00323988      1.19837 
    0.00324001      1.11173 
    0.00324028     0.926954 
     0.0032405     0.771826 
    0.00324064     0.682654 
    0.00324077     0.598267 
    0.00324088       0.5324 
    0.00324097     0.482969 
    0.00324106     0.436625 
    0.00324115     0.393466 
    0.00324122     0.363222 
    0.00324129     0.331135 
    0.00324137     0.301368 
    0.00324145     0.273871 
     0.0032415     0.254704 
    0.00324156      0.23675 
    0.00324162      0.21997 
    0.00324167      0.20433 
    0.00324173     0.189779 
    0.00324179      0.17628 
    0.00324184     0.163781 
     0.0032419     0.152235 
    0.00324196     0.141592 
    0.00324202     0.131805 
    0.00324207     0.122823 
    0.00324213       0.1146 
    0.00324219     0.107083 
    0.00324224     0.100231 
     0.0032423    0.0939938 
    0.00324236    0.0883303 
    0.00324241    0.0831963 
    0.00324247    0.0784815 
    0.00324253    0.0741997 
    0.00324259    0.0703521 
    0.00324265    0.0668997 
    0.00324271    0.0638097 
    0.00324276    0.0610486 
    0.00324282    0.0585865 
     0.0032429    0.0557203 
    0.00324298    0.0532749 
    0.00324306    0.0511963 
    0.00324313    0.0494355 
    0.00324321    0.0479503 
    0.00324329    0.0467028 
    0.00324337    0.0456601 
    0.00324348    0.0444182 
     0.0032436    0.0434926 
    0.00324368    0.0430187 
    0.00324383    0.0423608 
    0.00324398    0.0419755 
    0.00324417    0.0417808 
    0.00324421    0.0417729 
    0.00324443    0.0419014 
    0.00324466    0.0422825 
    0.00324489    0.0428774 
    0.00324511    0.0436725 
    0.00324534     0.044671 
    0.00324557    0.0458904 
    0.00324579    0.0473625 
    0.00324602    0.0491373 
     0.0032462    0.0508457 
    0.00324636    0.0526054 
    0.00324653    0.0546632 
    0.00324669    0.0571018 
    0.00324679     0.058994 
     0.0032469    0.0611509 
    0.00324701    0.0636291 
    0.00324712    0.0664994 
    0.00324723    0.0698499 
    0.00324731    0.0727431 
    0.00324739    0.0760225 
    0.00324747    0.0797547 
    0.00324755    0.0840134 
    0.00324763     0.088887 
    0.00324771    0.0944757 
    0.00324776    0.0986562 
    0.00324782     0.103243 
    0.00324789     0.109811 
    0.00324796     0.117219 
    0.00324801     0.123394 
    0.00324806     0.130153 
    0.00324811     0.137552 
    0.00324816     0.145648 
    0.00324822     0.154506 
    0.00324827     0.164188 
    0.00324832     0.174769 
    0.00324837     0.186319 
    0.00324842     0.198928 
    0.00324847      0.21267 
    0.00324853     0.227638 
    0.00324858     0.243923 
    0.00324863     0.261626 
    0.00324868     0.280844 
    0.00324873     0.301687 
    0.00324879     0.324253 
    0.00324884     0.348671 
    0.00324889     0.375039 
    0.00324895     0.405676 
    0.00324901     0.443637 
    0.00324907     0.485109 
    0.00324914     0.530303 
     0.0032492     0.579442 
    0.00324926     0.632724 
    0.00324933     0.690388 
    0.00324939     0.752593 
    0.00324945      0.81954 
    0.00324952     0.891379 
    0.00324958     0.968274 
    0.00324963      1.03757 
     0.0032497       1.1268 
    0.00324976      1.22167 
    0.00324983      1.32222 
     0.0032499      1.42844 
    0.00324999      1.59825 
    0.00325009       1.7803 
     0.0032502       1.9958 
    0.00325033      2.26314 
    0.00325048      2.60275 
    0.00325077      3.27194 
    0.00325097      3.74042 
    0.00325114      4.11773 
    0.00325129      4.41096 
     0.0032514      4.61082 
     0.0032515      4.76123 
    0.00325161      4.90292 
    0.00325169      4.99588 
     0.0032518      5.08048 
    0.00325191      5.13015 
    0.00325202      5.14886 
    0.00325214      5.12865 
    0.00325223      5.08746 
    0.00325233      5.00819 
    0.00325242      4.92117 
    0.00325253      4.78813 
    0.00325267       4.5948 
    0.00325279      4.39295 
    0.00325294      4.12473 
    0.00325332      3.38569 
    0.00325346      3.13341 
    0.00325356      2.97732 
    0.00325367      2.80341 
    0.00325376      2.68675 
    0.00325384      2.58307 
    0.00325393      2.49314 
    0.00325401      2.41751 
    0.00325409      2.36188 
    0.00325417      2.31806 
    0.00325425      2.28589 
    0.00325432      2.26508 
    0.00325442      2.25442 
    0.00325451      2.25843 
     0.0032546      2.27579 
    0.00325469      2.30493 
    0.00325482      2.35764 
    0.00325494       2.4231 
    0.00325535      2.68077 
     0.0032555      2.76002 
    0.00325565      2.82334 
    0.00325578        2.859 
    0.00325589      2.87086 
    0.00325592      2.87115 
    0.00325603       2.8611 
    0.00325614      2.83433 
    0.00325624       2.7949 
    0.00325634      2.74154 
    0.00325642      2.68355 
    0.00325654      2.58646 
    0.00325665      2.48779 
    0.00325677      2.35855 
    0.00325692      2.18387 
    0.00325711      1.94853 
    0.00325748      1.47507 
    0.00325764      1.27098 
    0.00325775      1.14196 
    0.00325786      1.01995 
    0.00325796     0.909911 
    0.00325804     0.833467 
    0.00325812     0.761442 
     0.0032582     0.693926 
    0.00325828      0.63093 
    0.00325836     0.572438 
    0.00325843     0.518372 
    0.00325851     0.468633 
    0.00325856     0.437796 
    0.00325862     0.408771 
    0.00325867     0.381497 
    0.00325872     0.355921 
    0.00325878     0.327729 
    0.00325884     0.301728 
    0.00325891       0.2778 
    0.00325897     0.255836 
    0.00325903     0.235718 
    0.00325909     0.217337 
    0.00325915     0.200577 
    0.00325921     0.185336 
    0.00325928     0.171495 
    0.00325934     0.158961 
     0.0032594     0.147627 
    0.00325946     0.137399 
    0.00325952     0.128186 
    0.00325958     0.119903 
    0.00325965     0.112466 
    0.00325971     0.105801 
    0.00325977    0.0998338 
    0.00325983    0.0945009 
    0.00325989    0.0897392 
    0.00325995     0.085493 
    0.00326002    0.0817091 
    0.00326009    0.0776438 
    0.00326017     0.073824 
    0.00326026    0.0705595 
    0.00326034      0.06777 
    0.00326042    0.0653879 
    0.00326048    0.0639963 
    0.00326059    0.0616146 
    0.00326069    0.0596828 
     0.0032608     0.058114 
    0.00326091    0.0568392 
    0.00326108    0.0553602 
    0.00326124    0.0542811 
    0.00326135    0.0537343 
    0.00326157    0.0529633 
    0.00326184    0.0524807 
    0.00326204    0.0523718 
    0.00326228    0.0524963 
    0.00326252    0.0528766 
    0.00326275    0.0535147 
    0.00326299    0.0544344 
    0.00326323    0.0556913 
    0.00326339    0.0567666 
    0.00326355    0.0580906 
    0.00326371    0.0597425 
    0.00326383    0.0612659 
    0.00326395    0.0631088 
    0.00326407     0.065364 
    0.00326415    0.0671554 
    0.00326423    0.0692289 
     0.0032643    0.0716385 
    0.00326438    0.0744481 
    0.00326447    0.0778968 
    0.00326453    0.0810256 
     0.0032646    0.0845921 
    0.00326466    0.0886626 
    0.00326473    0.0933082 
    0.00326479    0.0986125 
    0.00326486     0.104667 
    0.00326492     0.111577 
    0.00326499     0.119455 
    0.00326503     0.125307 
    0.00326508     0.131689 
    0.00326512     0.138642 
    0.00326516     0.146217 
    0.00326521     0.154459 
    0.00326525     0.163424 
    0.00326529     0.173165 
    0.00326534     0.183746 
    0.00326538     0.195223 
    0.00326542     0.207667 
    0.00326547     0.221141 
    0.00326551     0.235727 
    0.00326555      0.25149 
     0.0032656     0.268515 
    0.00326564     0.286878 
    0.00326568     0.306672 
    0.00326573     0.327977 
    0.00326577     0.350888 
    0.00326581     0.375492 
    0.00326586     0.402248 
     0.0032659     0.430935 
    0.00326594     0.461669 
    0.00326599     0.494545 
    0.00326605     0.541906 
    0.00326611     0.593539 
    0.00326616     0.649678 
    0.00326622     0.710588 
    0.00326628     0.776502 
    0.00326634     0.847689 
     0.0032664     0.924348 
    0.00326646      1.00671 
    0.00326652      1.09497 
    0.00326657      1.18932 
    0.00326663       1.2899 
    0.00326669      1.39684 
    0.00326677      1.54852 
    0.00326685      1.70851 
     0.0032669      1.83573 
    0.00326698        2.015 
    0.00326705      2.20502 
    0.00326713      2.40548 
    0.00326725      2.72449 
    0.00326736      3.06326 
    0.00326752      3.55882 
    0.00326792      4.88301 
    0.00326806       5.3273 
    0.00326822      5.77983 
    0.00326835      6.12092 
    0.00326842      6.30512 
    0.00326854      6.54664 
    0.00326863      6.70571 
    0.00326874      6.84369 
    0.00326885      6.94275 
    0.00326896      6.98898 
    0.00326901      6.99386 
    0.00326911        6.969 
    0.00326923      6.88957 
    0.00326932      6.78587 
     0.0032694      6.66235 
    0.00326951      6.46232 
    0.00326962      6.24095 
    0.00326973      5.95122 
    0.00326985      5.63652 
       0.00327      5.16223 
    0.00327027      4.31881 
    0.00327048      3.65583 
    0.00327061      3.25466 
    0.00327074      2.87459 
    0.00327083      2.60674 
    0.00327092      2.39299 
      0.003271      2.19214 
    0.00327108      2.00479 
    0.00327116      1.83145 
    0.00327125      1.67241 
    0.00327132       1.5429 
    0.00327139      1.43179 
    0.00327146      1.33087 
    0.00327153      1.24003 
     0.0032716      1.15923 
    0.00327167      1.08838 
    0.00327171      1.04663 
    0.00327176      1.00923 
    0.00327181     0.976166 
    0.00327185     0.947413 
     0.0032719     0.922959 
    0.00327194     0.902798 
    0.00327199     0.886929 
    0.00327204     0.875359 
    0.00327208     0.868106 
    0.00327213     0.865145 
    0.00327217     0.866679 
    0.00327222     0.872593 
    0.00327227     0.883005 
    0.00327231      0.89799 
    0.00327236     0.917636 
    0.00327241     0.942047 
    0.00327245      0.97134 
     0.0032725      1.00564 
    0.00327254      1.04509 
    0.00327259      1.08986 
    0.00327264       1.1401 
    0.00327268        1.196 
    0.00327273      1.25775 
    0.00327277      1.32558 
    0.00327282      1.39969 
    0.00327287       1.4803 
    0.00327291      1.56766 
    0.00327296      1.66201 
    0.00327301       1.7636 
    0.00327305      1.87267 
     0.0032731      1.98948 
    0.00327317      2.17981 
    0.00327324      2.38903 
    0.00327331      2.61794 
    0.00327337      2.86744 
    0.00327344      3.13817 
    0.00327349       3.3308 
    0.00327356      3.62791 
    0.00327362      3.94633 
    0.00327369      4.28647 
    0.00327376      4.64846 
    0.00327382      5.03249 
    0.00327389      5.43832 
    0.00327399      6.08741 
     0.0032741      6.81457 
    0.00327422      7.69652 
    0.00327436      8.82532 
    0.00327452      10.1485 
     0.0032749      13.4689 
    0.00327507      14.8735 
    0.00327522      15.9893 
    0.00327534       16.868 
    0.00327545      17.4811 
    0.00327553      17.9231 
    0.00327564      18.4009 
    0.00327576      18.7848 
    0.00327588      19.0218 
    0.00327598      19.1037 
      0.003276      19.1062 
    0.00327612      19.0278 
    0.00327622      18.8264 
    0.00327634      18.4838 
    0.00327643      18.0972 
    0.00327655      17.5142 
    0.00327665      16.9059 
    0.00327677      16.0958 
    0.00327692      14.9204 
    0.00327709      13.5187 
    0.00327751      9.94514 
    0.00327764      8.81372 
    0.00327778      7.73714 
     0.0032779      6.85728 
    0.00327798      6.27747 
    0.00327806      5.72833 
    0.00327814      5.21113 
    0.00327822      4.72654 
    0.00327831      4.27491 
    0.00327838      3.90921 
    0.00327845      3.56794 
    0.00327852      3.25054 
    0.00327859      2.95641 
    0.00327866       2.6847 
    0.00327872      2.49513 
    0.00327877       2.3173 
    0.00327883      2.15076 
    0.00327888       1.9951 
    0.00327895      1.80944 
    0.00327899      1.69479 
    0.00327904      1.58708 
    0.00327909      1.48599 
    0.00327913      1.39122 
    0.00327918      1.30248 
    0.00327923      1.21947 
    0.00327927      1.14189 
    0.00327932      1.06946 
    0.00327936       1.0019 
    0.00327941     0.938941 
    0.00327946     0.880315 
     0.0032795     0.825767 
    0.00327955     0.775056 
    0.00327959     0.727944 
    0.00327965     0.677913 
    0.00327971     0.626308 
    0.00327977     0.579532 
    0.00327983     0.537164 
    0.00327989      0.49881 
    0.00327995     0.464104 
    0.00328001      0.43271 
    0.00328007     0.404314 
    0.00328013     0.378627 
    0.00328019     0.355385 
    0.00328025     0.334347 
    0.00328031     0.315293 
    0.00328037     0.298021 
    0.00328043     0.282349 
    0.00328049     0.268113 
    0.00328055     0.255163 
    0.00328062     0.241216 
     0.0032807     0.226809 
    0.00328078     0.214063 
    0.00328087     0.202741 
    0.00328095     0.192642 
    0.00328103     0.183592 
    0.00328112     0.175446 
     0.0032812      0.16808 
    0.00328132     0.158267 
    0.00328145     0.149686 
    0.00328157     0.142113 
     0.0032817     0.135373 
    0.00328182     0.129331 
    0.00328196     0.123417 
    0.00328212     0.117275 
    0.00328228     0.111814 
    0.00328243     0.106939 
    0.00328259     0.102583 
    0.00328275    0.0986995 
    0.00328291    0.0952601 
    0.00328307     0.092258 
    0.00328322    0.0897062 
    0.00328338    0.0876437 
    0.00328354    0.0861397 
    0.00328369    0.0853256 
    0.00328379    0.0851796 
    0.00328388    0.0853879 
    0.00328398    0.0860059 
    0.00328408    0.0870992 
    0.00328418     0.088744 
    0.00328427    0.0910289 
    0.00328435    0.0932229 
    0.00328442    0.0958807 
    0.00328449    0.0990542 
    0.00328457     0.102798 
    0.00328464     0.107173 
    0.00328471     0.112242 
    0.00328479     0.118073 
    0.00328486     0.124736 
    0.00328493     0.132304 
    0.00328501     0.140851 
    0.00328508     0.150455 
    0.00328515      0.16119 
    0.00328522      0.17204 
    0.00328529     0.183952 
    0.00328535     0.196982 
    0.00328542     0.211179 
    0.00328549     0.226595 
    0.00328555     0.243268 
    0.00328562     0.261237 
    0.00328569     0.280528 
    0.00328575     0.301169 
    0.00328582     0.323165 
    0.00328589     0.346521 
    0.00328599     0.384075 
    0.00328609      0.42457 
    0.00328619     0.467856 
    0.00328629     0.515789 
    0.00328643     0.584893 
    0.00328665      0.69435 
    0.00328693     0.842693 
    0.00328707     0.913569 
     0.0032872     0.969974 
    0.00328732      1.02146 
    0.00328742      1.06182 
    0.00328752      1.09229 
    0.00328762      1.12078 
    0.00328774       1.1457 
    0.00328784      1.15994 
    0.00328795      1.16735 
      0.003288      1.16809 
    0.00328811      1.16373 
    0.00328821      1.15229 
    0.00328831      1.13557 
    0.00328839      1.11532 
    0.00328851      1.08235 
    0.00328861      1.04495 
    0.00328874     0.993113 
    0.00328886     0.939225 
    0.00328898     0.881148 
    0.00328921     0.763528 
    0.00328951     0.604638 
    0.00328966     0.528928 
    0.00328977     0.475101 
    0.00328988     0.424378 
    0.00328999     0.380711 
    0.00329006     0.353337 
    0.00329013     0.327397 
     0.0032902     0.302913 
    0.00329027     0.279891 
    0.00329034     0.258328 
    0.00329041     0.238206 
    0.00329048     0.219496 
    0.00329054     0.202161 
    0.00329061     0.186158 
    0.00329068     0.171435 
    0.00329075     0.157935 
    0.00329082     0.145598 
    0.00329089      0.13436 
    0.00329096     0.124157 
    0.00329102     0.116905 
    0.00329107     0.109766 
    0.00329113      0.10322 
    0.00329119    0.0972314 
    0.00329125     0.091762 
     0.0032913    0.0867782 
    0.00329136    0.0822427 
    0.00329142    0.0781256 
    0.00329148    0.0743937 
    0.00329153    0.0710175 
    0.00329161    0.0670194 
    0.00329169    0.0635377 
    0.00329177    0.0605152 
    0.00329184    0.0578975 
    0.00329192    0.0556363 
      0.003292    0.0536867 
    0.00329207    0.0520099 
    0.00329215    0.0505701 
    0.00329226     0.048787 
    0.00329238    0.0473764 
     0.0032925    0.0462635 
    0.00329261    0.0453877 
    0.00329276    0.0445056 
    0.00329292    0.0438697 
    0.00329315    0.0432407 
    0.00329338    0.0428767 
    0.00329371    0.0426518 
    0.00329389      0.04263 
     0.0032942    0.0427223 
     0.0032947    0.0431373 
     0.0032952    0.0438313 
     0.0032957    0.0447827 
     0.0032962     0.045989 
     0.0032967    0.0474585 
    0.00329719     0.049209 
    0.00329764    0.0510464 
    0.00329804    0.0529094 
    0.00329844    0.0550118 
    0.00329884    0.0573813 
    0.00329924    0.0600513 
    0.00329964     0.063062 
    0.00330004    0.0664623 
    0.00330043    0.0703114 
    0.00330078    0.0741043 
    0.00330108    0.0777173 
    0.00330138    0.0817107 
    0.00330168    0.0861368 
    0.00330198    0.0910579 
    0.00330228    0.0965487 
    0.00330258       0.1027 
    0.00330288     0.109621 
    0.00330313     0.116073 
    0.00330332     0.121751 
    0.00330352      0.12795 
    0.00330372     0.134736 
    0.00330392      0.14219 
    0.00330412     0.150406 
    0.00330432     0.159496 
    0.00330452     0.169595 
    0.00330471     0.180273 
    0.00330489     0.191521 
    0.00330507      0.20405 
    0.00330525     0.218072 
    0.00330538     0.229725 
    0.00330552     0.242495 
    0.00330565     0.256536 
    0.00330579     0.272026 
    0.00330592     0.289175 
    0.00330606     0.308221 
    0.00330618     0.327799 
    0.00330631     0.349504 
    0.00330643     0.373634 
    0.00330655      0.40052 
    0.00330665     0.422724 
    0.00330674     0.446866 
    0.00330683     0.473139 
    0.00330693     0.501749 
    0.00330702     0.532922 
     0.0033071     0.562753 
    0.00330721     0.603192 
    0.00330731     0.647624 
    0.00330741     0.696414 
    0.00330751     0.749942 
    0.00330762     0.808593 
    0.00330772     0.872752 
    0.00330782     0.942801 
    0.00330791      1.01027 
    0.00330803      1.10663 
    0.00330815      1.21238 
    0.00330827       1.3279 
    0.00330839      1.45345 
    0.00330851      1.58914 
    0.00330862      1.71992 
    0.00330876      1.90662 
    0.00330891      2.10658 
    0.00330909      2.37287 
    0.00330931       2.7236 
    0.00330972      3.39324 
    0.00330992      3.68844 
    0.00331011      3.95975 
    0.00331025      4.14083 
     0.0033104      4.30169 
    0.00331055      4.43422 
     0.0033107      4.53223 
    0.00331081      4.58185 
    0.00331092      4.60901 
      0.003311       4.6144 
    0.00331111      4.60331 
    0.00331123      4.56944 
    0.00331135      4.50623 
     0.0033115      4.39761 
    0.00331165      4.25583 
     0.0033118      4.08991 
    0.00331189      3.96796 
    0.00331208      3.69962 
    0.00331228      3.40831 
    0.00331275      2.66612 
    0.00331291      2.41468 
    0.00331306      2.21165 
     0.0033132      2.02331 
    0.00331331      1.89319 
    0.00331342      1.77368 
    0.00331353      1.66178 
    0.00331361      1.58979 
    0.00331369      1.52474 
    0.00331377      1.46685 
    0.00331385      1.41634 
    0.00331393      1.37343 
    0.00331401      1.33831 
    0.00331409      1.31115 
    0.00331416      1.29365 
    0.00331422       1.2837 
    0.00331429       1.2791 
    0.00331432      1.27882 
    0.00331438      1.28234 
    0.00331445      1.29132 
    0.00331451      1.30581 
    0.00331457       1.3258 
    0.00331464      1.35129 
    0.00331473       1.3998 
    0.00331483      1.46048 
    0.00331492      1.53304 
    0.00331502      1.61705 
    0.00331511      1.71195 
     0.0033152      1.80107 
     0.0033153      1.91895 
    0.00331541      2.05889 
    0.00331553      2.22162 
    0.00331576      2.56679 
      0.003316      2.91465 
    0.00331618      3.15842 
    0.00331633      3.33937 
    0.00331645      3.46503 
    0.00331658      3.57111 
    0.00331667      3.63429 
    0.00331677      3.68475 
    0.00331688      3.71624 
    0.00331698      3.72348 
    0.00331708      3.71057 
    0.00331718      3.67793 
    0.00331729      3.61804 
    0.00331737       3.5586 
    0.00331748      3.46398 
    0.00331758      3.35302 
    0.00331771      3.19599 
     0.0033178      3.06914 
    0.00331794      2.85548 
    0.00331813      2.55835 
    0.00331851      1.92137 
    0.00331865       1.7052 
    0.00331878      1.50052 
    0.00331888       1.3718 
    0.00331897      1.25001 
    0.00331906      1.13559 
    0.00331915      1.02883 
    0.00331923     0.935323 
    0.00331932     0.848793 
    0.00331939     0.788419 
    0.00331945     0.731884 
    0.00331951      0.67909 
    0.00331958     0.629945 
    0.00331964     0.584325 
    0.00331971     0.542114 
    0.00331977     0.503162 
    0.00331984     0.467332 
     0.0033199     0.434447 
    0.00331997     0.404368 
    0.00332003     0.376926 
    0.00332009     0.351963 
    0.00332016     0.329313 
    0.00332022     0.308822 
    0.00332029     0.290332 
    0.00332035       0.2737 
    0.00332042     0.258775 
    0.00332048     0.245425 
    0.00332055     0.233268 
    0.00332062      0.22205 
    0.00332068     0.212188 
    0.00332075     0.203555 
    0.00332082     0.196029 
    0.00332089     0.189501 
    0.00332098     0.182173 
    0.00332107     0.176225 
    0.00332116      0.17147 
    0.00332126     0.167746 
    0.00332135     0.164915 
    0.00332144      0.16286 
    0.00332158     0.161025 
    0.00332171     0.160463 
    0.00332185     0.160989 
    0.00332199     0.162482 
    0.00332213     0.164873 
    0.00332226     0.168141 
     0.0033224     0.172307 
    0.00332254     0.177435 
    0.00332268     0.183631 
     0.0033228     0.190249 
    0.00332292     0.197544 
    0.00332303     0.206019 
    0.00332315     0.215876 
    0.00332327     0.227361 
    0.00332338     0.240777 
    0.00332346     0.250972 
    0.00332354     0.262311 
    0.00332362     0.274936 
     0.0033237     0.289008 
    0.00332377     0.304703 
    0.00332385     0.322219 
    0.00332393     0.341775 
      0.003324     0.361187 
    0.00332406     0.379966 
    0.00332412      0.40045 
    0.00332418     0.422788 
    0.00332424     0.447141 
    0.00332431     0.473679 
    0.00332437      0.50258 
    0.00332443     0.534032 
    0.00332449     0.568237 
    0.00332455     0.605403 
    0.00332461     0.645743 
    0.00332467      0.68948 
    0.00332474     0.736847 
     0.0033248     0.788079 
    0.00332486     0.843413 
    0.00332492      0.90309 
    0.00332499     0.977863 
    0.00332505      1.04667 
    0.00332511       1.1204 
    0.00332517      1.19933 
    0.00332523      1.28362 
    0.00332531      1.40471 
    0.00332539      1.53615 
    0.00332547      1.67831 
    0.00332556      1.83146 
    0.00332563      1.98044 
    0.00332573       2.1964 
    0.00332583      2.42942 
    0.00332593      2.67915 
    0.00332602      2.94499 
    0.00332612      3.22587 
    0.00332627      3.66398 
    0.00332642      4.12578 
    0.00332688      5.66332 
    0.00332706      6.22659 
    0.00332722      6.67801 
    0.00332736      7.01798 
    0.00332747       7.2726 
    0.00332758      7.46433 
    0.00332768      7.61711 
    0.00332778      7.72437 
    0.00332785      7.77277 
    0.00332797      7.81597 
      0.003328      7.81759 
    0.00332811      7.79038 
    0.00332823      7.71045 
    0.00332835      7.56742 
    0.00332846      7.40039 
    0.00332857      7.17055 
     0.0033287      6.86972 
    0.00332884        6.493 
    0.00332902      5.96711 
    0.00332923      5.29481 
    0.00332957      4.16877 
    0.00332971      3.71284 
    0.00332985      3.30053 
    0.00332996      2.96381 
    0.00333008      2.64809 
    0.00333017      2.42612 
    0.00333026      2.20054 
    0.00333034      2.03774 
    0.00333041      1.88431 
    0.00333048      1.74019 
    0.00333056      1.60527 
    0.00333063      1.47933 
     0.0033307      1.36216 
    0.00333078      1.25344 
    0.00333084      1.16866 
    0.00333091      1.07348 
    0.00333099     0.985931 
    0.00333106     0.905609 
    0.00333114     0.832086 
    0.00333121     0.764951 
    0.00333128     0.703744 
    0.00333136      0.64808 
    0.00333143     0.597532 
    0.00333151     0.551711 
    0.00333158     0.510228 
    0.00333164     0.480283 
    0.00333171      0.44853 
    0.00333178     0.419622 
    0.00333184     0.393324 
    0.00333191     0.369414 
    0.00333198      0.34769 
    0.00333205     0.327963 
    0.00333211      0.31006 
    0.00333218     0.293819 
    0.00333225     0.279097 
    0.00333232     0.265764 
    0.00333239     0.253703 
    0.00333245     0.242809 
    0.00333252     0.232989 
    0.00333259     0.224163 
    0.00333266     0.216263 
    0.00333274     0.208079 
    0.00333283     0.200053 
    0.00333292     0.193423 
    0.00333301     0.188131 
     0.0033331      0.18415 
     0.0033332      0.18148 
    0.00333329     0.180146 
    0.00333333     0.179995 
     0.0033334     0.180436 
    0.00333347     0.181709 
    0.00333354     0.183857 
    0.00333361     0.186925 
    0.00333368      0.19097 
    0.00333374     0.196047 
    0.00333381     0.202223 
    0.00333388     0.209563 
    0.00333395     0.218142 
    0.00333402     0.228032 
    0.00333409     0.239309 
    0.00333416     0.252047 
    0.00333422     0.264334 
    0.00333428     0.277824 
    0.00333434     0.292568 
     0.0033344     0.308606 
    0.00333445     0.325985 
    0.00333451     0.344736 
    0.00333457     0.364898 
    0.00333463     0.386491 
    0.00333472     0.421025 
    0.00333481     0.458762 
     0.0033349     0.499708 
    0.00333498     0.543809 
    0.00333507      0.59098 
    0.00333516     0.641059 
    0.00333529     0.721173 
    0.00333543     0.808466 
    0.00333564      0.95329 
    0.00333597      1.17966 
    0.00333611      1.27436 
    0.00333622      1.34138 
    0.00333637      1.42071 
    0.00333648      1.47046 
    0.00333659      1.51361 
    0.00333671      1.54924 
    0.00333682      1.57204 
    0.00333694       1.5839 
      0.003337      1.58514 
    0.00333711      1.57881 
    0.00333722      1.56203 
     0.0033373      1.54058 
    0.00333738      1.51627 
    0.00333749       1.4743 
     0.0033376      1.42475 
    0.00333771      1.36342 
    0.00333785      1.28006 
    0.00333803      1.16173 
    0.00333831     0.964802 
    0.00333852     0.813569 
    0.00333866     0.719074 
    0.00333876     0.651453 
    0.00333887     0.587211 
    0.00333896      0.53235 
    0.00333905     0.483444 
    0.00333914     0.437665 
    0.00333923     0.395067 
    0.00333932     0.355689 
    0.00333938     0.331212 
    0.00333944     0.308129 
     0.0033395     0.286425 
    0.00333955     0.266063 
    0.00333961     0.247013 
    0.00333967     0.229226 
    0.00333973     0.212663 
    0.00333979     0.197273 
    0.00333985     0.183008 
    0.00333991     0.169808 
    0.00333997     0.157627 
    0.00334003     0.146406 
    0.00334009     0.136094 
    0.00334015     0.126632 
    0.00334021      0.11797 
    0.00334027     0.110052 
    0.00334033      0.10283 
    0.00334039    0.0962503 
    0.00334045    0.0902679 
    0.00334051    0.0848355 
    0.00334056    0.0799104 
    0.00334062    0.0754492 
    0.00334068    0.0714145 
    0.00334074    0.0677682 
     0.0033408    0.0644765 
    0.00334086    0.0615056 
    0.00334092    0.0588271 
    0.00334098    0.0564123 
    0.00334104    0.0542362 
    0.00334113    0.0513669 
    0.00334122      0.04891 
    0.00334131    0.0468024 
     0.0033414    0.0449903 
    0.00334149     0.043427 
    0.00334157    0.0420729 
    0.00334169    0.0405352 
    0.00334181    0.0392934 
    0.00334197    0.0378164 
    0.00334213    0.0366076 
     0.0033423    0.0355937 
    0.00334252    0.0344578 
    0.00334273    0.0334969 
    0.00334306    0.0322789 
    0.00334339    0.0312484 
    0.00334371    0.0303546 
    0.00334415    0.0293267 
    0.00334459    0.0284486 
