#ZVView-data-copy:  30-May-2023 20:43:01
#=======================================
#
#name:   64-GD-156(N,2N)64-GD-155,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    3.76861e-5      7.39734 
    3.82178e-5       7.1418 
    3.87569e-5      6.93182 
    3.93037e-5       6.7556 
    4.01394e-5      6.53709 
    4.09908e-5      6.35862 
    4.21556e-5      6.16266 
    4.36593e-5      5.96211 
    4.55334e-5      5.76211 
    4.81578e-5      5.53258 
    5.69742e-5      4.86255 
     5.9836e-5      4.61418 
    6.19704e-5      4.40037 
    6.37313e-5      4.19668 
    6.50831e-5      4.01831 
    6.64669e-5      3.80917 
    6.74046e-5      3.64853 
    6.83556e-5      3.46636 
      6.932e-5      3.25759 
    7.00518e-5      3.07972 
    7.07904e-5      2.87999 
    7.12897e-5      2.73176 
    7.17891e-5      2.57104 
    7.22955e-5      2.39399 
    7.28019e-5      2.20109 
    7.31871e-5      2.04266 
    7.35722e-5      1.87324 
    7.39592e-5      1.69121 
    7.43498e-5      1.49493 
    7.46753e-5       1.3216 
    7.50256e-5      1.12551 
    7.53873e-5     0.914001 
    7.60743e-5     0.500783 
    7.62401e-5     0.403617 
    7.63607e-5     0.335261 
    7.64461e-5     0.288523 
    7.65341e-5     0.242292 
    7.65969e-5     0.210691 
    7.66522e-5     0.184036 
    7.67024e-5     0.160867 
    7.67527e-5     0.138838 
    7.67954e-5     0.121106 
    7.68331e-5     0.106293 
    7.68645e-5    0.0945958 
    7.68934e-5    0.0843902 
    7.69235e-5    0.0743465 
    7.69436e-5    0.0680139 
    7.69637e-5    0.0619864 
    7.69813e-5     0.056973 
    7.69989e-5    0.0522123 
    7.70165e-5    0.0477137 
    7.70341e-5     0.043487 
    7.70529e-5    0.0392715 
    7.70655e-5    0.0366472 
    7.70781e-5    0.0341765 
    7.70944e-5    0.0312005 
    7.71095e-5    0.0286975 
    7.71195e-5    0.0271628 
    7.71321e-5     0.025399 
    7.71434e-5    0.0239619 
    7.71547e-5    0.0226706 
    7.71641e-5    0.0217085 
