#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          19.3          0.2       0.0068       0.0005  # 2010,V.Semkova+          ## 22822011  #dY:7.4%   
         19.33        0.095       0.0074       0.0011  # 2016,B.Champine+         ## 14447005  #dY:14.9%  
         19.76        0.215       0.0053       0.0005  # 1961,B.P.Bayhurst+       ## 11462012  #dY:9.4%   
         20.32        0.095       0.0077       0.0012  # 2016,B.Champine+         ## 14447005  #dY:15.6%  
          20.6          0.1       0.0065       0.0005  # 2010,V.Semkova+          ## 22822011  #dY:7.7%   
         21.31          0.1       0.0065       0.0013  # 2016,B.Champine+         ## 14447005  #dY:20.0%  
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-94(N,G)40-ZR-95,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  32
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       0.0475       0.0024  # 1973,D.C.Santry+         ## 10385002  #dY:5.1%   
       2.53e-8            0       0.0476       0.0026  # 1973,D.C.Santry+         ## 10385006  #dY:5.5%   
       2.53e-8            0       0.0515            0  # 2013,F.Farina Arbocco+   ## 23266095             
       2.53e-8            0        0.052            0  # 2013,F.Farina Arbocco+   ## 23266095             
       2.53e-8            0       0.0515            0  # 2013,F.Farina Arbocco+   ## 23266095             
       2.53e-8            0        0.053      0.00053  # 1988,F.De Corte+         ## 23488033  #dY:1.0%   
       2.53e-8            0        0.063        0.008  # 1970,M.D.Ricabarra+      ## 30188007  #dY:12.7%  
        0.0015            0        0.012       0.0018  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0018            0         0.04        0.006  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
         0.002      0.00035        0.095            0  # 1970,R.P.Schuman+        ## 14080019             
        0.0022            0        0.057      0.00855  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0027            0        0.058       0.0087  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0034            0         0.03       0.0045  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0038            0        0.046       0.0069  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0043            0         0.07       0.0105  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0055            0         0.09       0.0135  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0065            0         0.08        0.012  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
         0.009            0        0.068       0.0102  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
        0.0115            0        0.053      0.00795  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
         0.014            0        0.047      0.00705  # 1965,S.P.Kapchigashev    ## 40034004  #dY:15.0%  
          0.02        0.005       0.0509       0.0034  # 2005,K.Ohgama+           ## 22960012  #dY:6.7%   
          0.02            0        0.033      0.00198  # 1965,S.P.Kapchigashev    ## 40034004  #dY:6.0%   
         0.024            0        0.024        0.004  # 1957,R.L.Macklin+        ## 11399020  #dY:16.7%  
          0.03            0        0.019        0.004  # 1963,R.L.Macklin+        ## 11845005  #dY:21.1%  
          0.03       0.0035       0.0252       0.0036  # 1982,J.M.Wyrick+         ## 12831006  #dY:14.3%  
          0.03        0.005       0.0265       0.0017  # 2005,K.Ohgama+           ## 22960012  #dY:6.4%   
          0.03            0        0.021      0.00084  # 1965,S.P.Kapchigashev    ## 40034004  #dY:4.0%   
         0.045         0.01       0.0196       0.0011  # 2005,K.Ohgama+           ## 22960012  #dY:5.6%   
         0.057            0       0.0115     0.000345  # 1965,S.P.Kapchigashev    ## 40034004  #dY:3.0%   
        0.0775       0.0225       0.0187        0.001  # 2005,K.Ohgama+           ## 22960012  #dY:5.3%   
         0.195        0.025        0.042        0.008  # 1959,W.S.Lyon+           ## 11407011  #dY:19.0%  
          2.45            0      0.00541      0.00059  # 2012,P.M.Prajapati+      ## 33037004  #dY:10.9%  
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-94(N,EL)40-ZR-94,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  1
#data...
#            X         +-dX            Y  # Comments...
#          MeV          MeV        barns  # Year,Author(s)           ## EXFOR-ID
           1.5        0.042       4.2694            0  # 1974,F.D.Mcdaniel+       ## 10391012             
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-94(N,P)39-Y-94,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  58
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
             6         0.25       0.0002            0  # 1966,E.E.Carroll+        ## 11856006             
           9.2         0.19      0.00047         6e-5  # 2001,M.Ibn Majah+        ## 22664008  #dY:12.8%  
         10.48         0.22       0.0018       0.0002  # 2001,M.Ibn Majah+        ## 22664008  #dY:11.1%  
         11.44         0.21       0.0025       0.0002  # 2001,M.Ibn Majah+        ## 22664008  #dY:8.0%   
         11.56            0      0.00136      0.00065  # 1991,P.Raics+            ## 30988007  #dY:47.8%  
         12.25            0      0.00198      0.00021  # 1991,P.Raics+            ## 30988007  #dY:10.6%  
         12.37          0.2       0.0044       0.0003  # 2001,M.Ibn Majah+        ## 22664008  #dY:6.8%   
         13.36            0      0.00487      0.00091  # 1988,Y.Ikeda+            ## 22089060  #dY:18.7%  
          13.4         0.05       0.0042     0.000504  # 1989,T.Katoh+            ## 22156012  #dY:12.0%  
          13.4          0.4       0.0041       0.0015  # 1990,A.Marcinkowski+     ## 30940005  #dY:36.6%  
         13.53            0      0.00509      0.00077  # 1988,Y.Ikeda+            ## 22089060  #dY:15.1%  
         13.56            0       0.0083       0.0018  # 2007,S.V.Begun+          ## 32220003  #dY:21.7%  
          13.6          0.3        0.006       0.0008  # 1990,A.Marcinkowski+     ## 30940005  #dY:13.3%  
         13.64            0       0.0083       0.0008  # 1991,N.I.Molla+          ## 30985009  #dY:9.6%   
         13.69            0       0.0087       0.0015  # 2007,S.V.Begun+          ## 32220003  #dY:17.2%  
          13.7         0.05       0.0053     0.000689  # 1989,T.Katoh+            ## 22156012  #dY:13.0%  
            14            0        0.011        0.002  # 1964,V.N.Levkovskii      ## 40016015  #dY:18.2%  
         14.01         0.05       0.0057     0.000684  # 1989,T.Katoh+            ## 22156012  #dY:12.0%  
