#ZVView-data-copy:  30-May-2023 21:50:59
#=======================================
#
#name:   40-ZR-91(N,P)39-Y-91-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  57
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.8            0       0.1714            0  # 1961,E.Bramlitt+         ## 11880004             
          14.8            0        0.034        0.007  # 1970,V.N.Levkovskii+     ## 40226019  #dY:20.6%  
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-91(N,P)39-Y-91-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  1
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.1            0       0.0142       0.0014  # 1960,C.H.Reed            ## 11896008  #dY:9.9%   
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-91(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  22472
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     4.9267e-5            0       7.8632      0.32125  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     4.9385e-5            0        8.085      0.32129  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     4.9503e-5            0       7.1428      0.31593  # 1977,A.R.De+             ## 13741002  #dY:4.4%   
     4.9621e-5            0        7.849      0.31824  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
      4.974e-5            0        7.587      0.32164  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
      4.986e-5            0       7.4465      0.31909  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
     4.9979e-5            0       7.6739      0.31668  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
       5.01e-5            0       6.7748      0.31393  # 1977,A.R.De+             ## 13741002  #dY:4.6%   
      5.022e-5            0       7.6623      0.31666  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.0341e-5            0       7.9786       0.3143  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
     5.0463e-5            0       7.4292      0.31288  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.0585e-5            0       7.4346      0.31429  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.0707e-5            0       7.4812      0.31133  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
      5.083e-5            0       7.2328      0.31276  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
     5.0953e-5            0       7.7022      0.31081  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.1077e-5            0       7.1499      0.30864  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
     5.1201e-5            0       7.5146      0.30969  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.1326e-5            0       8.0801      0.30885  # 1977,A.R.De+             ## 13741002  #dY:3.8%   
     5.1451e-5            0       7.3595      0.30799  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.1577e-5            0       7.5032      0.30793  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.1703e-5            0       7.5596      0.30962  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.1829e-5            0       7.2028      0.30858  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
     5.1956e-5            0       7.5951       0.3099  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.2083e-5            0       7.5854       0.3105  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.2211e-5            0       7.8797      0.30735  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
      5.234e-5            0       8.2185       0.3104  # 1977,A.R.De+             ## 13741002  #dY:3.8%   
     5.2469e-5            0        7.347      0.30765  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.2598e-5            0       7.3192      0.30558  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.2728e-5            0       7.6744      0.30334  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.2858e-5            0       7.2928      0.30341  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
