#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          0.46            0      0.00216            0  # 1959,A.E.Johnsrud+       ## 11675016             
          0.51            0       0.0023            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.555            0       0.0026            0  # 1959,A.E.Johnsrud+       ## 11675016             
          0.57       0.0215       0.0024      0.00021  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:8.7%   
          0.61            0       0.0024            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.653        0.023       0.0024      0.00011  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:4.6%   
         0.733        0.025       0.0027      0.00012  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:4.4%   
         0.875        0.027      0.00302      0.00016  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:5.3%   
          1.02         0.03      0.00344      0.00018  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:5.2%   
          1.17        0.031       0.0038      0.00016  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:4.2%   
          1.22            0      0.00555            0  # 1959,A.E.Johnsrud+       ## 11675016             
           1.3            0       0.0044            0  # 1959,A.E.Johnsrud+       ## 11675016             
          1.35        0.035       0.0046      0.00021  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:4.6%   
         1.475        0.035      0.00415      0.00018  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:4.3%   
          1.61            0       0.0046            0  # 1959,A.E.Johnsrud+       ## 11675016             
          1.65        0.036       0.0042      0.00015  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:3.6%   
          1.85       0.0375       0.0038      0.00041  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:10.8%  
             2            0        0.004            0  # 1959,A.E.Johnsrud+       ## 11675016             
           2.2            0       0.0036            0  # 1959,A.E.Johnsrud+       ## 11675016             
           2.5            0       0.0011       0.0005  # 1958,M.V.Pasechnik+      ## 40336094  #dY:45.5%  
           2.7            0      0.00114      0.00023  # 1958,A.I.Leipunskiy+     ## 40244100  #dY:20.2%  
           2.9          0.1        0.003       0.0004  # 1968,J.Colditz+          ## 20092012  #dY:13.3%  
             3          0.1       0.0012       0.0002  # 1967,G.Peto+             ## 30031017  #dY:16.7%  
           3.1            0        0.001       0.0004  # 1958,M.V.Pasechnik+      ## 40336094  #dY:40.0%  
             4            0      0.00078      0.00024  # 1958,A.I.Leipunskiy+     ## 40244100  #dY:30.8%  
             4            0      0.00074       0.0003  # 1958,M.V.Pasechnik+      ## 40336094  #dY:40.5%  
            14          0.1        0.001       0.0002  # 1967,P.Cuzzocrea+        ## 21289003  #dY:20.0%  
          14.4            0       0.0007       0.0001  # 1974,J.Vuletin+          ## 30314008  #dY:14.3%  
          14.5            0       0.0013      0.00039  # 1958,J.L.Perkin+         ## 21438019  #dY:30.0%  
          14.6          0.2       0.0011      0.00011  # 1976,O.Schwerer+         ## 20670013  #dY:10.0%  
          14.7         0.15      0.00121      0.00021  # 1980,G.Magnusson+        ## 21004008  #dY:17.4%  
          14.7         0.03       0.0033       0.0006  # 1986,R.Pepelnik+         ## 21999040  #dY:18.2%  
          14.8         0.04      0.00172     0.000344  # 1977,Manjushree Majumd   ## 30296005  #dY:20.0%  
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,INL)56-BA-138-L,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  1
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.9          0.2        0.106        0.015  # 1979,L.Hannappel+        ## 21612013  #dY:14.2%  
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,P)55-CS-138-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  1
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.7          0.3       0.0013       0.0002  # 1985,B.Anders+           ## 21976043  #dY:15.4%  
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,A)54-XE-135,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  21
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.34            0      0.00165      0.00011  # 1988,Y.Ikeda+            ## 22089105  #dY:6.7%   
         13.47            0      0.00186     0.000109  # 2016,A.A.Filatenkov      ## 41614154  #dY:5.9%   
         13.57            0      0.00171      0.00013  # 1988,Y.Ikeda+            ## 22089105  #dY:7.6%   
         13.66            0      0.00205   0.00012895  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.3%   
         13.76            0      0.00178      0.00013  # 1988,Y.Ikeda+            ## 22089105  #dY:7.3%   
         13.88            0      0.00229      0.00015  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.6%   
         13.99            0      0.00193      0.00014  # 1988,Y.Ikeda+            ## 22089105  #dY:7.3%   
         14.04            0      0.00221   0.00014873  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.7%   
         14.21         0.17      0.00227         9e-5  # 1992,Lu Hanlin+          ## 31421011  #dY:4.0%   
         14.23            0       0.0022      0.00015  # 1988,Y.Ikeda+            ## 22089105  #dY:6.8%   
         14.26            0      0.00239    0.0001477  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.2%   
         14.44            0      0.00212      0.00015  # 1988,Y.Ikeda+            ## 22089105  #dY:7.1%   
         14.44            0      0.00264    0.0001687  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.4%   
         14.63            0      0.00257   0.00016936  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.6%   
         14.68            0      0.00223      0.00015  # 1988,Y.Ikeda+            ## 22089105  #dY:6.7%   
          14.7         0.03      0.00251      0.00011  # 1986,R.Pepelnik+         ## 21999039  #dY:4.4%   
         14.81            0      0.00271   0.00016748  # 2016,A.A.Filatenkov      ## 41614154  #dY:6.2%   
         14.82         0.21      0.00313      0.00012  # 1992,Lu Hanlin+          ## 31421011  #dY:3.8%   
         14.95            0       0.0024      0.00016  # 1988,Y.Ikeda+            ## 22089105  #dY:6.7%   
