#ZVView-data-copy:  30-May-2023 22:22:29
#=======================================
#
#name:   47-AG-109(N,2N)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  66
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.029            0        0.613            0  # 1965,V.N.Kononov+        ## 40076012             
         0.033        0.035        0.856            0  # 1946,G.A.Linenberger+    ## 11945004             
         0.033            0        0.592            0  # 1965,V.N.Kononov+        ## 40076012             
         0.035            0          1.1            0  # 1960,L.W.Weston+         ## 11818008             
         0.039            0        0.516            0  # 1965,V.N.Kononov+        ## 40076012             
         0.045            0            1            0  # 1960,L.W.Weston+         ## 11818008             
         0.046            0        0.503            0  # 1965,V.N.Kononov+        ## 40076012             
         0.056            0        0.426            0  # 1965,V.N.Kononov+        ## 40076012             
          0.06            0         0.91            0  # 1960,L.W.Weston+         ## 11818008             
         0.066            0        0.372            0  # 1965,V.N.Kononov+        ## 40076012             
         0.067         0.04        0.511            0  # 1946,G.A.Linenberger+    ## 11945004             
         0.073            0         0.34            0  # 1965,V.N.Kononov+        ## 40076012             
          0.08            0         0.79            0  # 1960,L.W.Weston+         ## 11818008             
          0.08            0        0.332            0  # 1965,V.N.Kononov+        ## 40076012             
         0.083            0        0.338            0  # 1965,V.N.Kononov+        ## 40076012             
         0.088            0        0.311            0  # 1965,V.N.Kononov+        ## 40076012             
         0.092            0        0.312            0  # 1965,V.N.Kononov+        ## 40076012             
         0.097            0        0.308            0  # 1965,V.N.Kononov+        ## 40076012             
         0.098        0.035        0.635            0  # 1946,G.A.Linenberger+    ## 11945004             
           0.1            0         0.58            0  # 1960,L.W.Weston+         ## 11818008             
         0.102            0         0.29            0  # 1965,V.N.Kononov+        ## 40076012             
         0.107            0        0.259            0  # 1965,V.N.Kononov+        ## 40076012             
         0.114            0        0.266            0  # 1965,V.N.Kononov+        ## 40076012             
         0.121            0        0.253            0  # 1965,V.N.Kononov+        ## 40076012             
          0.13            0        0.228            0  # 1965,V.N.Kononov+        ## 40076012             
         0.138            0        0.232            0  # 1965,V.N.Kononov+        ## 40076012             
          0.15            0         0.54            0  # 1960,L.W.Weston+         ## 11818008             
         0.195        0.005        0.273            0  # 1946,G.A.Linenberger+    ## 11945004             
           0.2            0         0.44            0  # 1960,L.W.Weston+         ## 11818008             
          0.39        0.005         0.17            0  # 1946,G.A.Linenberger+    ## 11945004             
           5.9          0.1        0.096            0  # 1946,G.A.Linenberger+    ## 11945004             
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-109(N,G)47-AG-110,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  125
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005         1.99            0  # 1982,R.L.Macklin         ## 12794003             
        0.0036       0.0004        1.851     0.098658  # 1982,M.Mizumoto+         ## 21814003  #dY:5.3%   
        0.0045       0.0005        1.713     0.087877  # 1982,M.Mizumoto+         ## 21814003  #dY:5.1%   
        0.0045       0.0005        1.677        0.149  # 1987,M.V.Bokhovko+       ## 40967003  #dY:8.9%   
         0.005        0.001         1.57            0  # 1982,R.L.Macklin         ## 12794003             
        0.0055       0.0005        1.629     0.083568  # 1982,M.Mizumoto+         ## 21814003  #dY:5.1%   
        0.0055       0.0005        1.561        0.106  # 1987,M.V.Bokhovko+       ## 40967003  #dY:6.8%   
        0.0065       0.0005        1.671     0.083049  # 1982,M.Mizumoto+         ## 21814003  #dY:5.0%   
        0.0065       0.0005        1.513        0.088  # 1987,M.V.Bokhovko+       ## 40967003  #dY:5.8%   
         0.007        0.001         1.42            0  # 1982,R.L.Macklin         ## 12794003             
        0.0075       0.0005        1.391     0.069133  # 1982,M.Mizumoto+         ## 21814003  #dY:5.0%   
        0.0075       0.0005        1.309        0.068  # 1987,M.V.Bokhovko+       ## 40967003  #dY:5.2%   
        0.0085       0.0005        1.673     0.081475  # 1982,M.Mizumoto+         ## 21814003  #dY:4.9%   
        0.0085       0.0005        1.512        0.073  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.8%   
         0.009        0.001          1.4            0  # 1982,R.L.Macklin         ## 12794003             
        0.0095       0.0005         1.32     0.064284  # 1982,M.Mizumoto+         ## 21814003  #dY:4.9%   
        0.0095       0.0005        1.418        0.067  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.7%   
         0.011        0.001        1.349     0.065157  # 1982,M.Mizumoto+         ## 21814003  #dY:4.8%   
         0.011        0.001        1.274        0.057  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.5%   
        0.0125       0.0025        1.164            0  # 1982,R.L.Macklin         ## 12794003             
         0.013        0.001        1.171     0.083375  # 1982,M.Mizumoto+         ## 21814003  #dY:7.1%   
         0.013        0.001        1.128         0.05  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
         0.015        0.001        1.309     0.093201  # 1982,M.Mizumoto+         ## 21814003  #dY:7.1%   
         0.015        0.001        0.993        0.044  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
         0.017        0.001        1.075     0.069875  # 1982,M.Mizumoto+         ## 21814003  #dY:6.5%   
         0.017        0.001        1.067        0.046  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.3%   
        0.0175       0.0025        1.007            0  # 1982,R.L.Macklin         ## 12794003             
         0.019        0.001        1.061     0.068965  # 1982,M.Mizumoto+         ## 21814003  #dY:6.5%   
         0.019        0.001        1.031        0.044  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.3%   
         0.021        0.001        1.019        0.045  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
        0.0225       0.0025         1.01     0.069589  # 1982,M.Mizumoto+         ## 21814003  #dY:6.9%   
         0.023        0.001        1.008        0.044  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
         0.025        0.005         0.89            0  # 1982,R.L.Macklin         ## 12794003             
         0.025        0.001        0.907         0.04  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
         0.027        0.001        0.848        0.038  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.5%   
        0.0275       0.0025        0.855     0.058909  # 1982,M.Mizumoto+         ## 21814003  #dY:6.9%   
          0.03        0.002        0.833        0.037  # 1987,M.V.Bokhovko+       ## 40967003  #dY:4.4%   
        0.0325       0.0025        0.816     0.056222  # 1982,M.Mizumoto+         ## 21814003  #dY:6.9%   
