#ZVView-data-copy:  30-May-2023 20:49:41
#=======================================
#
#name:   64-GD-160(N,G)64-GD-161,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  200
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    1.47277e-8      3.73498 
    2.52781e-8      3.72657 
       2.53e-8      3.72656 
     1.3215e-7      3.71695 
    7.69821e-5      3.58884 
   0.000120434      3.49338 
   0.000148598      3.40899 
   0.000165981       3.3365 
   0.000177414       3.2706 
   0.000185968      3.20257 
   0.000192437       3.1316 
   0.000197435      3.05615 
    0.00020058      2.99353 
   0.000203385      2.92219 
    0.00020534      2.86012 
   0.000207295      2.78333 
   0.000208698      2.71586 
     0.0002101      2.63417 
    0.00021112      2.56297 
    0.00021214      2.47874 
    0.00021299      2.39571 
    0.00021384      2.29746 
   0.000214478      2.21113 
   0.000215115      2.11111 
   0.000215731      1.99812 
   0.000216114      1.91809 
   0.000216496      1.82898 
   0.000216879      1.72925 
   0.000217197      1.63663 
   0.000217452      1.55541 
   0.000217708      1.46701 
   0.000217963      1.37054 
   0.000218196       1.2742 
   0.000218409      1.17941 
   0.000218621      1.07715 
   0.000218834     0.966915 
   0.000219004     0.872767 
   0.000219195     0.760529 
   0.000219354      0.66221 
   0.000219556      0.53268 
   0.000219817     0.363022 
    0.00021991     0.304379 
   0.000219976     0.264243 
   0.000220034     0.230744 
   0.000220082     0.205036 
   0.000220114      0.18896 
   0.000220143     0.175107 
    0.00022017     0.163352 
   0.000220196       0.1525 
   0.000220223     0.142667 
   0.000220244     0.135619 
   0.000220268     0.128655 
   0.000220284     0.124634 
     0.0002203     0.121152 
    0.00022032     0.117618 
    0.00022034      0.11507 
   0.000220358     0.113662 
   0.000220374     0.113264 
    0.00022039     0.113668 
   0.000220404     0.114661 
   0.000220416     0.116097 
   0.000220428     0.118075 
   0.000220441     0.120948 
   0.000220454     0.124572 
   0.000220465     0.128045 
   0.000220475     0.132054 
   0.000220486     0.136628 
   0.000220497     0.141794 
    0.00022051     0.149132 
   0.000220523     0.157506 
   0.000220536     0.166986 
    0.00022055     0.177643 
    0.00022056      0.18707 
   0.000220571     0.197345 
   0.000220585     0.212196 
   0.000220596     0.224614 
   0.000220607     0.239796 
    0.00022062     0.257303 
   0.000220633     0.277486 
   0.000220644     0.295016 
   0.000220656     0.316305 
   0.000220668     0.339363 
    0.00022068     0.364307 
   0.000220692     0.391273 
   0.000220704     0.420397 
   0.000220718     0.457324 
   0.000220732     0.497674 
   0.000220741     0.526623 
   0.000220753     0.566437 
   0.000220765     0.609367 
   0.000220777     0.655662 
   0.000220789     0.705582 
   0.000220803     0.768178 
   0.000220816     0.836506 
    0.00022083     0.911126 
   0.000220844     0.992648 
   0.000220855      1.06402 
   0.000220866      1.14073 
   0.000220877      1.22325 
   0.000220889      1.31202 
     0.0002209       1.4076 
