#ZVView-data-copy:  30-May-2023 20:45:01
#=======================================
#
#name:   64-GD-157(N,G)64-GD-158,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       264000         4500  # 1958,N.J.Pattenden       ## 21325021  #dY:1.7%   
          0.04        0.005         1.44        0.062  # 2007,W.C.Chung+          ## 22932010  #dY:4.3%   
         0.045        0.005        1.175      0.00705  # 1995,K.Wisshak+          ## 22386012  #dY:0.6%   
          0.05         0.01        1.078            0  # 1988,H.Beer+             ## 12964005             
          0.05        0.005        1.275        0.056  # 2007,W.C.Chung+          ## 22932010  #dY:4.4%   
         0.055        0.005        1.009     0.006054  # 1995,K.Wisshak+          ## 22386012  #dY:0.6%   
          0.06        0.005         1.04        0.047  # 2007,W.C.Chung+          ## 22932010  #dY:4.5%   
          0.07         0.01        0.797            0  # 1988,H.Beer+             ## 12964005             
          0.07         0.01       0.7729    0.0038645  # 1995,K.Wisshak+          ## 22386012  #dY:0.5%   
        0.0815       0.0165        0.885         0.04  # 2007,W.C.Chung+          ## 22932010  #dY:4.5%   
          0.09         0.01        0.626            0  # 1988,H.Beer+             ## 12964005             
          0.09         0.01       0.5907    0.0029535  # 1995,K.Wisshak+          ## 22386012  #dY:0.5%   
          0.11         0.01       0.5309    0.0031854  # 1995,K.Wisshak+          ## 22386012  #dY:0.6%   
         0.125        0.025        0.508            0  # 1988,H.Beer+             ## 12964005             
         0.135        0.015       0.4417    0.0039753  # 1995,K.Wisshak+          ## 22386012  #dY:0.9%   
        0.1625       0.0125       0.3806     0.003806  # 1995,K.Wisshak+          ## 22386012  #dY:1.0%   
         0.175        0.025        0.391            0  # 1988,H.Beer+             ## 12964005             
        0.1875       0.0125       0.3409     0.003409  # 1995,K.Wisshak+          ## 22386012  #dY:1.0%   
        0.2125       0.0125       0.3305     0.004627  # 1995,K.Wisshak+          ## 22386012  #dY:1.4%   
          0.25         0.05        0.331       0.0009  # 1988,H.Beer+             ## 12964005  #dY:0.3%   
          0.35         0.05        0.251       0.0009  # 1988,H.Beer+             ## 12964005  #dY:0.4%   
          0.45         0.05        0.221       0.0009  # 1988,H.Beer+             ## 12964005  #dY:0.4%   
