#ZVView-data-copy:  30-May-2023 21:48:02
#=======================================
#
#name:   40-ZR-90(N,2N)40-ZR-89,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  181
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.88            0       0.0129       0.0009  # 1991,N.I.Molla+          ## 30985006  #dY:7.0%   
         13.96            0       0.0118    0.0005605  # 2016,A.A.Filatenkov      ## 41614057  #dY:4.7%   
         13.98            0      0.01159      0.00082  # 1988,Y.Ikeda+            ## 22089054  #dY:7.1%   
          14.1            0        0.012        0.003  # 1975,R.Spangler+         ## 12956005  #dY:25.0%  
          14.1            0        0.014        0.001  # 1991,N.I.Molla+          ## 30985006  #dY:7.1%   
         14.19            0       0.0119   0.00065331  # 2016,A.A.Filatenkov      ## 41614057  #dY:5.5%   
          14.2          0.2         0.02        0.004  # 1978,C.V.Srinivasa Rao   ## 30574012  #dY:20.0%  
          14.2          0.3       0.0117       0.0014  # 1990,A.Marcinkowski+     ## 30940002  #dY:12.0%  
          14.3            0       0.0141       0.0011  # 1991,N.I.Molla+          ## 30985006  #dY:7.8%   
          14.4          0.3       0.0129        0.001  # 1970,W.D.Lu+             ## 10145002  #dY:7.8%   
          14.4          0.3       0.0098       0.0017  # 1982,J.L.Barreira Filh   ## 21902006  #dY:17.3%  
         14.42            0       0.0123   0.00063222  # 2016,A.A.Filatenkov      ## 41614057  #dY:5.1%   
         14.43            0      0.01234      0.00089  # 1988,Y.Ikeda+            ## 22089054  #dY:7.2%   
         14.58            0       0.0154        0.002  # 1991,N.I.Molla+          ## 30985006  #dY:13.0%  
          14.6            0        0.009       0.0008  # 1977,Y.Fujino+           ## 20850002  #dY:8.9%   
          14.6         0.12       0.0133       0.0007  # 1993,A.Grallert+         ## 31496037  #dY:5.3%   
         14.61            0        0.012    0.0004944  # 2016,A.A.Filatenkov      ## 41614057  #dY:4.1%   
         14.67            0      0.01238      0.00089  # 1988,Y.Ikeda+            ## 22089054  #dY:7.2%   
          14.7         0.35        0.012        0.004  # 1961,W.L.Alford+         ## 11871002  #dY:33.3%  
          14.7          0.3       0.0082       0.0007  # 1974,S.M.Qaim+           ## 20513011  #dY:8.5%   
          14.7         0.15       0.0378       0.0068  # 1972,V.K.Tikku+          ## 30394008  #dY:18.0%  
          14.7            0        0.009       0.0002  # 1996,K.T.Osman+          ## 31464022  #dY:2.2%   
         14.78            0       0.0123   0.00053382  # 2016,A.A.Filatenkov      ## 41614057  #dY:4.3%   
          14.8          0.2        0.013        0.001  # 1970,L.Husain+           ## 10088007  #dY:7.7%   
          14.8          0.1        0.011       0.0008  # 1975,R.A.Sigg+           ## 10477002  #dY:7.3%   
          14.8         0.17       0.0149       0.0025  # 1986,N.I.Molla+          ## 30825012  #dY:16.8%  
          14.8          0.3       0.0117       0.0014  # 1990,A.Marcinkowski+     ## 30940002  #dY:12.0%  
          14.8            0        0.017        0.002  # 1998,Ranjita Sarkar+     ## 31488002  #dY:11.8%  
          14.8            0       0.0119       0.0008  # 2003,T.D.Thiep+          ## 31543011  #dY:6.7%   
          14.8            0        0.009        0.002  # 1970,V.N.Levkovskii+     ## 40226018  #dY:22.2%  
          14.8            0       0.0127        0.001  # 1986,V.V.Ovechkin+       ## 40923003  #dY:7.9%   
         14.81          0.2       0.0124       0.0007  # 2010,V.Semkova+          ## 22822003  #dY:5.6%   
         14.83            0       0.0147       0.0013  # 1991,N.I.Molla+          ## 30985006  #dY:8.8%   
         14.93            0      0.01228      0.00087  # 1988,Y.Ikeda+            ## 22089054  #dY:7.1%   
          15.2          0.2       0.0119       0.0015  # 1990,A.Marcinkowski+     ## 30940002  #dY:12.6%  
