#ZVView-data-copy:  30-May-2023 21:38:21
#=======================================
#
#name:   29-CU-65(N,2N)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  250
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        13.967        0.052        0.846     0.032909  # 2007,W.Mannhart+         ## 22976027  #dY:3.9%   
        13.975         0.02        0.917         0.06  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         13.98            0        0.839        0.054  # 1988,Y.Ikeda+            ## 22089050  #dY:6.4%   
        13.984        0.052       0.8368     0.037238  # 2007,W.Mannhart+         ## 22976027  #dY:4.5%   
            14         0.02        0.895        0.058  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
            14            0         0.84         0.01  # 1994,Y.Ikeda+            ## 22547004  #dY:1.2%   
            14            0        0.826       0.0624  # 2007,M.A.Hafiz           ## 31598003  #dY:7.6%   
         14.01          0.1        0.879        0.035  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
        14.025         0.02        0.908        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         14.05        0.125        0.893        0.063  # 1965,A.Paulsen+          ## 20386003  #dY:7.1%   
        14.055         0.02        0.882        0.057  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
        14.075         0.02        0.854        0.055  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.4%   
         14.08        0.055        0.875        0.059  # 1980,P.N.Ngoc+           ## 30562018  #dY:6.7%   
         14.09          0.1        0.906        0.036  # 1961,R.J.Prestwood+      ## 11645007  #dY:4.0%   
          14.1            0         0.97       0.0776  # 1952,S.G.Forbes          ## 11474008  #dY:8.0%   
          14.1          0.2        0.965            0  # 1962,L.A.Rayburn         ## 11780003             
          14.1            0         1.16         0.02  # 1975,R.Spangler+         ## 12956007  #dY:1.7%   
          14.1         0.14        0.906        0.061  # 1969,M.Bormann+          ## 20835005  #dY:6.7%   
          14.1          0.2        0.918       0.0918  # 1963,M.Bormann+          ## 21343004  #dY:10.0%  
          14.1            0         0.94       0.0846  # 1961,H.Pollehn+          ## 21352009  #dY:9.0%   
          14.1          0.1        0.882         0.02  # 1972,R.Mogharrab+        ## 21509004  #dY:2.3%   
          14.1            0        0.905        0.054  # 1982,J.Csikai            ## 30640006  #dY:6.0%   
          14.1            0        0.929        0.052  # 1994,N.I.Molla+          ## 31449009  #dY:5.6%   
         14.11         0.02        0.919        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.4%   
        14.135         0.02        0.914        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         14.14            0         1.34         0.13  # 1960,J.H.Mc Crary+       ## 11268005  #dY:9.7%   
         14.16         0.02        0.916        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.4%   
         14.19            0        0.865     0.036589  # 2016,A.A.Filatenkov      ## 41614032  #dY:4.2%   
          14.2          0.1         0.84        0.065  # 1966,W.Nagel             ## 20198013  #dY:7.7%   
          14.2          0.1        0.866        0.078  # 1966,W.Nagel             ## 20198013  #dY:9.0%   
          14.2            0         0.87         0.01  # 1994,Y.Ikeda+            ## 22547004  #dY:1.1%   
          14.2            0         0.85         0.05  # 1969,A.Chatterjee+       ## 30612008  #dY:5.9%   
         14.21         0.02        0.912        0.059  # 1968,P.Cuzzocrea+        ## 20890006  #dY:6.5%   
         14.22            0        0.872        0.056  # 1988,Y.Ikeda+            ## 22089050  #dY:6.4%   
         14.25         0.04        0.943        0.028  # 1966,D.C.Santry+         ## 11776007  #dY:3.0%   
